date,open,low,high,close,volume
2023-07-21 12:07:00,3.015,3.015,3.015,3.015,110
2023-07-21 12:05:00,2.9501,2.9501,2.9501,2.9501,250
2023-07-21 11:45:00,2.9811,2.9811,2.9811,2.9811,110
2023-07-21 11:44:00,2.96,2.95,2.96,2.95,222
2023-07-21 11:43:00,2.9812,2.95,2.9812,2.95,410
2023-07-21 11:42:00,3.015,3.015,3.015,3.015,352
2023-07-21 11:41:00,2.95,2.95,2.95,2.95,200
2023-07-21 11:39:00,2.95,2.95,2.95,2.95,200
2023-07-21 11:37:00,2.96,2.96,3.0,3.0,210
2023-07-21 11:36:00,2.96,2.96,2.96,2.96,100
2023-07-21 11:35:00,3.0,3.0,3.0,3.0,100
2023-07-21 11:10:00,2.975,2.975,2.975,2.975,100
2023-07-21 11:00:00,3.0,3.0,3.0,3.0,110
2023-07-21 10:59:00,2.95,2.95,2.95,2.95,101
2023-07-21 10:46:00,2.99,2.99,2.9999,2.9999,1000
2023-07-21 10:24:00,3.0899,3.0899,3.0899,3.0899,110
2023-07-21 10:23:00,2.9701,2.97,2.9701,2.97,592
2023-07-21 10:22:00,2.9701,2.9701,2.9701,2.9701,400
2023-07-21 10:19:00,2.99,2.97,2.99,2.99,1708
2023-07-21 10:16:00,3.02,3.02,3.02,3.02,110
2023-07-21 10:15:00,2.9501,2.9501,2.9501,2.9501,500
2023-07-21 10:00:00,3.07,3.07,3.07,3.07,100
2023-07-24 15:59:00,2.934,2.91,2.9688,2.91,3893
2023-07-24 15:58:00,2.93,2.93,2.96,2.93,4244
2023-07-24 15:57:00,2.9804,2.9804,2.9804,2.9804,251
2023-07-24 15:56:00,2.98,2.98,2.98,2.98,200
2023-07-24 15:51:00,2.9804,2.9804,2.9804,2.9804,100
2023-07-24 15:14:00,2.98,2.98,2.9898,2.9897,1000
2023-07-24 14:41:00,2.95,2.95,2.95,2.95,434
2023-07-24 14:01:00,2.965,2.965,2.965,2.965,110
2023-07-24 14:00:00,2.95,2.95,2.95,2.95,250
2023-07-24 13:56:00,2.96,2.96,2.96,2.96,400
2023-07-24 13:55:00,2.96,2.96,2.97,2.96,1500
2023-07-24 13:54:00,2.96,2.96,2.97,2.97,1301
2023-07-24 13:50:00,2.99,2.95,2.99,2.99,1100
2023-07-24 13:48:00,2.9892,2.97,2.9902,2.9902,500
2023-07-24 13:47:00,2.98,2.94,2.9999,2.9999,2210
2023-07-24 13:46:00,2.96,2.96,2.98,2.98,600
2023-07-24 11:55:00,3.0,3.0,3.0,3.0,500
2023-07-24 11:23:00,2.97,2.97,2.97,2.97,110
2023-07-24 11:21:00,2.94,2.94,2.94,2.94,100
2023-07-24 11:16:00,2.9999,2.9999,2.9999,2.9999,110
2023-07-24 11:15:00,2.94,2.94,2.94,2.94,925
2023-07-24 11:12:00,2.96,2.95,2.96,2.95,1600
2023-07-24 10:52:00,2.9677,2.9677,2.9677,2.9677,150
2023-07-24 10:13:00,2.965,2.965,2.965,2.965,110
2023-07-24 10:12:00,2.95,2.95,2.95,2.95,2352
2023-07-24 10:11:00,2.94,2.94,2.9498,2.9498,1000
2023-07-24 10:09:00,2.96,2.95,2.96,2.9501,1800
2023-07-24 10:05:00,2.975,2.975,2.975,2.975,200
2023-07-24 10:04:00,2.95,2.95,2.95,2.95,100
2023-07-24 09:44:00,3.005,3.005,3.005,3.005,150
2023-07-24 09:38:00,3.0,2.99,3.05,2.99,2186
2023-07-24 09:37:00,2.99,2.975,3.02,3.02,8686
2023-07-24 09:36:00,2.99,2.97,3.02,3.0,1601
2023-07-24 09:30:00,3.06,3.06,3.06,3.06,272
2023-07-25 15:57:00,2.93,2.93,2.93,2.93,118
2023-07-25 15:56:00,2.925,2.925,2.93,2.93,404
2023-07-25 15:30:00,2.91,2.91,2.91,2.91,900
2023-07-25 15:08:00,3.0,3.0,3.0,3.0,200
2023-07-25 15:07:00,3.0,2.998,3.0,2.998,200
2023-07-25 14:16:00,2.95,2.95,2.95,2.95,4000
2023-07-25 13:50:00,2.93,2.93,2.93,2.93,270
2023-07-25 13:03:00,2.9999,2.9999,2.9999,2.9999,105
2023-07-25 12:52:00,2.92,2.92,2.92,2.92,200
2023-07-25 12:36:00,3.0,3.0,3.0,3.0,200
2023-07-25 12:30:00,2.9114,2.9114,2.9114,2.9114,157
2023-07-25 12:22:00,2.91,2.91,2.91,2.91,185
2023-07-25 12:20:00,2.92,2.92,2.92,2.92,1600
2023-07-25 11:52:00,3.05,3.05,3.05,3.05,150
2023-07-25 11:26:00,3.03,3.03,3.03,3.03,100
2023-07-25 11:15:00,2.99,2.99,2.99,2.99,382
2023-07-25 11:12:00,2.94,2.94,2.95,2.95,800
2023-07-25 10:38:00,2.93,2.89,2.94,2.94,1300
2023-07-25 10:05:00,2.93,2.93,2.9396,2.9396,651
2023-07-25 09:35:00,2.95,2.95,2.95,2.95,260
2023-07-26 15:59:00,2.98,2.94,2.98,2.94,232
2023-07-26 15:50:00,2.94,2.94,2.9899,2.9899,305
2023-07-26 15:49:00,2.9601,2.9601,2.97,2.97,267
2023-07-26 15:36:00,2.9599,2.9499,2.96,2.9499,1846
2023-07-26 15:19:00,2.945,2.945,2.96,2.96,1200
2023-07-26 15:05:00,2.9538,2.9538,2.9538,2.9538,115
2023-07-26 14:49:00,2.93,2.93,2.93,2.93,300
2023-07-26 14:07:00,2.9169,2.9169,2.945,2.945,262
2023-07-26 13:32:00,2.96,2.96,2.96,2.96,100
2023-07-26 13:20:00,2.9999,2.9999,2.9999,2.9999,1000
2023-07-26 11:42:00,2.92,2.9197,2.9879,2.9879,947
2023-07-26 11:36:00,2.92,2.92,2.92,2.92,110
2023-07-26 11:33:00,2.915,2.9103,2.915,2.9103,500
2023-07-26 11:31:00,2.92,2.92,2.92,2.92,100
2023-07-26 11:12:00,2.92,2.9152,2.92,2.9152,1100
2023-07-26 11:04:00,2.92,2.92,2.92,2.92,100
2023-07-26 11:00:00,2.92,2.92,2.92,2.92,1732
2023-07-26 10:59:00,2.92,2.91,2.96,2.91,2202
2023-07-26 10:51:00,2.9798,2.9798,2.9798,2.9798,600
2023-07-26 10:32:00,2.98,2.98,2.98,2.98,100
2023-07-26 10:29:00,2.9301,2.9301,2.9301,2.9301,400
2023-07-26 10:27:00,2.965,2.965,2.965,2.965,100
2023-07-26 10:16:00,2.96,2.96,2.99,2.96,1800
2023-07-26 10:15:00,2.93,2.93,2.93,2.93,100
2023-07-26 10:09:00,2.92,2.92,2.9711,2.95,305
2023-07-26 10:08:00,2.96,2.9,2.99,2.95,5529
